movieId,title,genres,director,actors,year,avg_rating,num_ratings
19995,Avatar,Action|Adventure|Fantasy|Science Fiction,James Cameron,Sam Worthington|Zoe Saldana|Sigourney Weaver|Stephen Lang|Michelle Rodriguez,2009,7.2,11800
285,Pirates of the Caribbean: At World's End,Adventure|Fantasy|Action,Gore Verbinski,Johnny Depp|Orlando Bloom|Keira Knightley|Stellan Skarsgård|Chow Yun-fat,2007,6.9,4500
206647,Spectre,Action|Adventure|Crime,Sam Mendes,Daniel Craig|Christoph Waltz|Léa Seydoux|Ralph Fiennes|Monica Bellucci,2015,6.3,4466
49026,The Dark Knight Rises,Action|Crime|Drama|Thriller,Christopher Nolan,Christian Bale|Michael Caine|Gary Oldman|Anne Hathaway|Tom Hardy,2012,7.6,9106
49529,John Carter,Action|Adventure|Science Fiction,Andrew Stanton,Taylor Kitsch|Lynn Collins|Samantha Morton|Willem Dafoe|Thomas Haden Church,2012,6.1,2124
559,Spider-Man 3,Fantasy|Action|Adventure,Sam Raimi,Tobey Maguire|Kirsten Dunst|James Franco|Thomas Haden Church|Topher Grace,2007,5.9,3576
38757,Tangled,Animation|Family,Byron Howard,Zachary Levi|Mandy Moore|Donna Murphy|Ron Perlman|M.C. Gainey,2010,7.4,3330
99861,Avengers: Age of Ultron,Action|Adventure|Science Fiction,Joss Whedon,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,2015,7.3,6767
767,Harry Potter and the Half-Blood Prince,Adventure|Fantasy|Family,David Yates,Daniel Radcliffe|Rupert Grint|Emma Watson|Tom Felton|Michael Gambon,2009,7.4,5293
209112,Batman v Superman: Dawn of Justice,Action|Adventure|Fantasy,Zack Snyder,Ben Affleck|Henry Cavill|Gal Gadot|Amy Adams|Jesse Eisenberg,2016,5.7,7004
1452,Superman Returns,Adventure|Fantasy|Action|Science Fiction,Bryan Singer,Brandon Routh|Kevin Spacey|Kate Bosworth|James Marsden|Parker Posey,2006,5.4,1400
10764,Quantum of Solace,Adventure|Action|Thriller|Crime,Marc Forster,Daniel Craig|Olga Kurylenko|Mathieu Amalric|Judi Dench|Giancarlo Giannini,2008,6.1,2965
58,Pirates of the Caribbean: Dead Man's Chest,Adventure|Fantasy|Action,Gore Verbinski,Johnny Depp|Orlando Bloom|Keira Knightley|Stellan Skarsgård|Bill Nighy,2006,7.0,5246
57201,The Lone Ranger,Action|Adventure|Western,Gore Verbinski,Johnny Depp|Armie Hammer|William Fichtner|Helena Bonham Carter|James Badge Dale,2013,5.9,2311
49521,Man of Steel,Action|Adventure|Fantasy|Science Fiction,Zack Snyder,Henry Cavill|Amy Adams|Michael Shannon|Kevin Costner|Diane Lane,2013,6.5,6359
2454,The Chronicles of Narnia: Prince Caspian,Adventure|Family|Fantasy,Andrew Adamson,Ben Barnes|William Moseley|Anna Popplewell|Skandar Keynes|Georgie Henley,2008,6.3,1630
24428,The Avengers,Science Fiction|Action|Adventure,Joss Whedon,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson,2012,7.4,11776
1865,Pirates of the Caribbean: On Stranger Tides,Adventure|Action|Fantasy,Rob Marshall,Johnny Depp|Penélope Cruz|Ian McShane|Kevin McNally|Geoffrey Rush,2011,6.4,4948
